tripinfo_arrival;tripinfo_arrivalLane;tripinfo_arrivalPos;tripinfo_arrivalSpeed;tripinfo_depart;tripinfo_departDelay;tripinfo_departLane;tripinfo_departPos;tripinfo_departSpeed;tripinfo_devices;tripinfo_duration;tripinfo_id;tripinfo_rerouteNo;tripinfo_routeLength;tripinfo_speedFactor;tripinfo_stopTime;tripinfo_timeLoss;tripinfo_vType;tripinfo_vaporized;tripinfo_waitingCount;tripinfo_waitingTime
1690.00;3_4_1;300.00;13.76;847.00;0.00;2_3_0;5.10;0.00;tripinfo_847;843.00;847;0;694.90;1.05;0.00;795.17;DEFAULT_VEHTYPE;;9;724.00
1724.00;3_4_1;300.00;18.20;925.00;0.00;2_3_0;5.10;0.00;tripinfo_925;799.00;925;0;694.90;1.31;0.00;760.59;DEFAULT_VEHTYPE;;10;674.00
1745.00;2_3_2;400.00;5.55;956.00;2.00;5_6_0;5.10;0.00;tripinfo_954;789.00;954;0;894.90;1.04;0.00;726.93;DEFAULT_VEHTYPE;;9;634.00
1747.00;2_3_2;400.00;7.18;745.00;0.00;1_2_0;5.10;0.00;tripinfo_745;1002.00;745;0;694.90;1.12;0.00;957.25;DEFAULT_VEHTYPE;;11;847.00
1750.00;2_3_2;400.00;9.06;839.00;0.00;1_2_0;5.10;0.00;tripinfo_839;911.00;839;0;694.90;0.88;0.00;853.43;DEFAULT_VEHTYPE;;13;745.00
1752.00;7_8_0;300.00;12.25;1665.00;0.00;5_6_0;5.10;0.00;tripinfo_1665;87.00;1665;0;994.90;0.90;0.00;6.82;DEFAULT_VEHTYPE;;0;0.00
1752.00;2_3_2;400.00;10.86;773.00;0.00;1_2_0;5.10;0.00;tripinfo_773;979.00;773;0;694.90;0.92;0.00;923.99;DEFAULT_VEHTYPE;;11;815.00
1758.00;7_8_0;300.00;14.15;1704.00;0.00;6_7_0;5.10;0.00;tripinfo_1704;54.00;1704;0;694.90;1.04;0.00;5.09;DEFAULT_VEHTYPE;;0;0.00
1765.00;3_4_1;300.00;13.98;899.00;0.00;5_6_0;5.10;0.00;tripinfo_899;866.00;899;0;1194.90;1.09;0.00;786.90;DEFAULT_VEHTYPE;;10;696.00
1768.00;7_8_1;300.00;12.83;393.00;0.00;6_2_0;5.10;0.00;tripinfo_393;1375.00;393;0;1094.90;0.98;0.00;1294.15;DEFAULT_VEHTYPE;;15;1138.00
1769.00;6_5_0;300.00;12.29;1075.00;0.00;2_6_0;5.10;0.00;tripinfo_1075;694.00;1075;0;494.90;0.91;0.00;654.63;DEFAULT_VEHTYPE;;6;611.00
1777.00;6_7_0;400.00;13.21;505.00;0.00;1_2_0;5.10;0.00;tripinfo_505;1272.00;505;0;894.90;0.98;0.00;1206.10;DEFAULT_VEHTYPE;;17;1074.00
1783.00;2_1_2;300.00;14.79;1745.00;0.00;6_2_0;5.10;0.00;tripinfo_1745;38.00;1745;0;494.90;1.08;0.00;4.50;DEFAULT_VEHTYPE;;0;0.00
